model,MAE,RMSE,R2,MAE_improvement,MAE_improvement_pct,R2_improvement
Gradient Boosting,13135.771997960725,17319.2210355883,0.9029966252603805,182.24749288354724,1.368427888312048,0.00451164502959589
Lasso Regression,13309.595081707821,17695.565874710763,0.8987350752797054,8.424409136450777,0.06325572013348005,0.0002500950489208176
Ridge Regression,13317.57402603288,17716.8446499263,0.8984913883417968,0.44546481139150274,0.003344827747832522,6.408111012157214e-06
Linear Regression,13318.019490844272,17717.403862163213,0.8984849802307846,0.0,0.0,0.0
Random Forest,13753.79941941961,18196.096454322793,0.8929253670443565,-435.779928575339,-3.2721076048501376,-0.0055596131864280585
Decision Tree,14138.002061266432,19021.625459512885,0.8829893516143666,-819.9825704221603,-6.1569407597418895,-0.015495628616417956
