feature,coefficient,abs_coef
company_location_Switzerland,0.3614743666315604,0.3614743666315604
experience_level_enc,0.3255107533620344,0.3255107533620344
company_location_India,-0.31598080381144217,0.31598080381144217
company_location_Austria,-0.3105174296092009,0.3105174296092009
company_location_Japan,-0.30669946115745556,0.30669946115745556
company_location_Finland,-0.3032402509489043,0.3032402509489043
company_location_China,-0.3027908248902902,0.3027908248902902
company_location_South Korea,-0.3022160119467705,0.3022160119467705
company_location_Ireland,-0.3017714256263289,0.3017714256263289
company_location_Israel,-0.2989079183915531,0.2989079183915531
company_location_Denmark,0.28137610717359396,0.28137610717359396
company_location_Norway,0.2772763626105134,0.2772763626105134
company_location_United States,0.1993785636498683,0.1993785636498683
company_size_L,0.13306674353432707,0.13306674353432707
company_size_S,-0.10211348845927137,0.10211348845927137
company_location_United Kingdom,0.09806226909346082,0.09806226909346082
company_location_Singapore,0.09094456212286925,0.09094456212286925
company_location_Netherlands,0.07777750192164694,0.07777750192164694
company_location_Sweden,0.037250567510845434,0.037250567510845434
company_location_Canada,-0.03436076207829723,0.03436076207829723
company_location_Germany,0.03374163478082964,0.03374163478082964
years_experience,0.030392278481812782,0.030392278481812782
company_location_France,-0.02790630501236298,0.02790630501236298
company_location_Australia,0.02581910320041386,0.02581910320041386
job_title_Head of AI,0.014044774479842346,0.014044774479842346
job_title_Data Engineer,0.010455167053202595,0.010455167053202595
skill_sql,-0.008918945641448526,0.008918945641448526
skill_azure,0.008775716409312606,0.008775716409312606
industry_Education,0.008039593568699066,0.008039593568699066
job_title_AI Specialist,0.007909791279432667,0.007909791279432667
industry_Consulting,-0.006416795056293215,0.006416795056293215
industry_Government,0.005864527193161223,0.005864527193161223
remote_ratio_0,-0.005838788052253351,0.005838788052253351
industry_Healthcare,0.0058360012121261,0.0058360012121261
job_title_Data Analyst,-0.005692133284465575,0.005692133284465575
industry_Manufacturing,0.0055869305252593746,0.0055869305252593746
job_title_AI Software Engineer,0.0052424048460633504,0.0052424048460633504
skill_git,-0.004689776216078242,0.004689776216078242
job_title_Robotics Engineer,0.0045021768491144915,0.0045021768491144915
industry_Transportation,-0.004422565222654481,0.004422565222654481
industry_Media,-0.0041485192656195114,0.0041485192656195114
skill_gcp,0.004078069485134282,0.004078069485134282
skill_tensorflow,-0.0032038985744017663,0.0032038985744017663
job_title_Research Scientist,0.003084355503405794,0.003084355503405794
skill_computer_vision,-0.002644281597901412,0.002644281597901412
industry_Telecommunications,0.0025298744895752697,0.0025298744895752697
skill_mathematics,0.0022909614744949396,0.0022909614744949396
job_title_Machine Learning Researcher,-0.0022233845980063967,0.0022233845980063967
skill_deep_learning,0.002072291182960299,0.002072291182960299
remote_ratio_100,0.0019992422880921665,0.0019992422880921665
employment_type_FL,-0.0018661004155047848,0.0018661004155047848
job_title_NLP Engineer,-0.0018643909703537616,0.0018643909703537616
skill_hadoop,0.0018589167478627049,0.0018589167478627049
industry_Automotive,-0.001856868340915703,0.001856868340915703
skill_nlp,0.001628399943256799,0.001628399943256799
skill_docker,-0.001557876242794033,0.001557876242794033
skill_python,-0.0015411527954912454,0.0015411527954912454
skill_aws,-0.0015354330716539134,0.0015354330716539134
job_title_AI Architect,-0.0013837881675612571,0.0013837881675612571
industry_Finance,-0.00124135290734332,0.00124135290734332
job_title_ML Ops Engineer,-0.0011521293861509376,0.0011521293861509376
benefits_score,-0.001135034011453969,0.001135034011453969
education_required_enc,0.0011091499278028593,0.0011091499278028593
employment_type_PT,0.001040249507968103,0.001040249507968103
job_title_Machine Learning Engineer,-0.0008472130271079146,0.0008472130271079146
skill_spark,0.0007201459042800892,0.0007201459042800892
job_title_Computer Vision Engineer,-0.0007041792889541227,0.0007041792889541227
employment_type_CT,0.0006279517289342686,0.0006279517289342686
job_title_AI Product Manager,0.0005826500650629244,0.0005826500650629244
skill_java,-0.0005339650261923394,0.0005339650261923394
employment_type_FT,-0.0005239952055630629,0.0005239952055630629
job_title_Data Scientist,-0.0004400797009044268,0.0004400797009044268
industry_Real Estate,0.000417337004325143,0.000417337004325143
skill_r,-0.0003003321583784417,0.0003003321583784417
skill_kubernetes,-0.00021641617728313913,0.00021641617728313913
job_title_Autonomous Systems Engineer,0.00013313218895393073,0.00013313218895393073
skill_data_visualization,9.97687354895101e-05,9.97687354895101e-05
industry_Energy,-9.58596999372896e-05,9.58596999372896e-05
skill_tableau,-9.205514800929046e-05,9.205514800929046e-05
skill_scala,-3.8719537742549247e-05,3.8719537742549247e-05
skill_pytorch,1.2245976646585256e-06,1.2245976646585256e-06
skill_linux,-0.0,0.0
remote_ratio_50,0.0,0.0
company_size_M,0.0,0.0
industry_Technology,-0.0,0.0
skill_mlops,-0.0,0.0
industry_Retail,0.0,0.0
industry_Gaming,-0.0,0.0
job_title_Principal Data Scientist,-0.0,0.0
job_title_Deep Learning Engineer,-0.0,0.0
job_title_AI Research Scientist,0.0,0.0
job_title_AI Consultant,-0.0,0.0
skill_statistics,-0.0,0.0
other_skills_count,0.0,0.0
